text,class,label
খারাপ মেয়েরা ধরা পড়লে পরোমান চায় আর ভাল মেয়েরা ভুল করলে বুঝতে পারে চোরের মার বড় গলা এটা মেয়েরাই পারে,NoAG,0
প্রথম জন্মের সময় মা প্রসব বেদনা ভোগ করেন দ্বিতীয় জন্মের সময় মানুষ নিজেই প্রসব বেদনা ভোগ করে,NoAG,0
দ্বিতীয়ত এই রাতে জায়গাটি পূর্ব দিকের মহিলার সুগন্ধি দ্বারা পরিপূর্ণ ছিল,NoAG,0
রংপুরের গঙ্গাচড়া উপজেলায় শোবার ঘর থেকে স্বামী ও স্ত্রীর মরদেহ উদ্ধার করেছে পুলিশ আজ মঙ্গলবার বেলা একটার দিকে ওই লাশ দুটি উদ্ধার করা হয় নিহত দম্পতি হলেন সাবের আলী ৫০ ও তাঁর স্ত্রী মুক্তারা বেগম ৩৫ তাঁরা উপজেলার গজঘণ্টা ইউনিয়নের বালাটারী গ্রামের বাসিন্দা,NoAG,0
আকাশ অনেক বড় তবুও সে কাঁদে আর আমি তার তুলনায় কত্ত ছোট আমি ও কাঁদি কিন্তু আকাশের মত কাউকে সিক্ত করতে পারি না পারিনা র্বষার মত অবিরাম ঝরতে মেঘের মত কাউকে আগলে রাখতে না পারি তোমার বিরহে পাশে থাকতে,NoAG,0
﻿খাদ্য এত সুস্বাদু  এবং অভ্যন্তর ডেকোরেশন খুব সুন্দর সুন্দর স্থান,NoAG,0
বিশ্বব্যাপী সব ধরনের রাজনৈতিক বিজ্ঞাপন নিষিদ্ধ করেছে অন্যতম সামাজিক যোগাযোগমাধ্যম টুইটার গতকাল বুধবার এক বার্তায় এ তথ্য জানিয়েছেন সংস্থাটির প্রধান নির্বাহী কর্মকর্তা সিইও জ্যাক ডরসি,NoAG,0
কিন্তু আজ যে লক্ষ্মীবার ঘর মোছা হবেনা যে রুবুর মর্জিমাফিক কাজ হবে এত টাকা দিয়ে মেশিন কিনে শুধু জেদের বশে হিমানীর মা কে জব্দ করা হল আর সেই মেশিন কিনা বিট্রে করছে,NoAG,0
এই ভোদাই সঠিক পুরাণগুলো কখন লিখা হয় বল তো দেহি,AG,1
বাংলাদেশে ও এমন অবস্থা হবে হাদিস দ্বারা প্রমানিত অার সেটা যে খুব বেশি দূরে না শেষ ২ বছরে বুঝতে পারছি অার এখনতো অারো পরিষ্কার,NoAG,0
তোর মায়েরে আমি চুদবো,AG,1
কোন মুভির নাম জানোস না আবার কথা কস অল ভিডিও বানাস বলদ কোথাকার,NoAG,0
পিছনের কঞ্চিগুলা খুইল্লা তোর গুয়া দিয়া দে হালা দামড়ার ঘরের দামড়া,AG,1
আমরা জানি আপনাদের কাছে আমরা কোন সত্য বা বাস্তব ঘটনা কখনোই আশা করি না কারণ আমরা পাব না আপনারা যেটা সত্য সেটা কখনো বলবেন না আবার না বলাটাই স্বাভাবিক কারণ আপনারা তো মানুষ আপনারা সত্য কথা বলে কি বিপদে পড়বেন নাকি এরকম এই অনুষ্ঠানটা এখন করতেছেন মাস খানেক আগেও তো করতে পারতেন তখন করেন নাই কেন করেন নাই করলে আপনাদের সমস্যা হতে পারে,NoAG,0
ছি ছি এতো নির্লজ্জ ছিলো তোদের লুচ্ছা নবী মোহাম্মদ | নিজের ছেলের বউকে বাড়িতে একলা পেয়ে তার সঙ্গে চুদাচুদি |,AG,1
১০ জনের মধ্যে একজন খারাপ ডাক্তার কিংবা আলেম কিংবা ইঞ্জিনিয়ার এর জন্যগালি দিই ১০ জনকেইবাকি নয়জনের প্রশংসাটা মুখে বোম মারলেও বের হয়না,NoAG,0
স্যারআপনার হাসিটা অসাধারণএত সুন্দর করে কেউ হাসে কি করে,NoAG,0
সত্যিই বাংলাদেশের কোনো উন্নয়ন হয়নি সরকারের পদত্যাগ করা দরকার,AG,1
