text,class,label
আমার বেঁচে যাওয়ায় যতটুকু আশ্চর্য হয়েছি তারচেয়েও বেশি আশ্চর্য হয়েছি রাফিদের ফোনের কারণে কারণ এমন কতো রাতই তো রাফিদ বাইরে কাটায়কোনোদিন আমাকে ফোন করে নিতাহলে আজ করলো কেনোনাকি রাফিদ সবই জানেসেও চাচ্ছে আমি রহস্যটা উদঘাটন করি,surprise,2
গতকাল রোববার সকালে সেই চিত্র পাল্টে যায় প্রায় ৬ হাজার শিশুশিক্ষার্থীর কলরবে মুখর হয়ে ওঠে মৌচাকের শালবন এই কাব স্কাউটরা দেশের বিভিন্ন জেলার স্কুল মাদ্রাসা ও মুক্ত স্কাউট দলের সদস্য,surprise,2
আমাকে হঠাৎ চমকে দিতে পেরে কিরন শব্দ করে হেসে উঠলোআর আমাকে বললো তুই যা ভাবছিস তা নয়আমি আসামী নইজেলের ডাক্তারআমি ডাক্তারি পাস করে ওখানে ডুকেছি,surprise,2
ফাইনালি আমরা মজা করেছি সিনিয়র জুনিয়রদের দেখা সাক্ষাৎ হালকা আড্ডা উপভোগ করছি ক্যাম্পাসের এই মাথা থেকে ঐ মাথা উলালে দৌড়াইয়া পা ব্যাথা করে ফালাইছি,sadness,1
ওরে ভাই এত ট্যালেন্ট কেমনে কি সম্ভব   কোথায় রাখেন ভাই এত ট্যালেন্ট দেখে সত্যি আমি অবাক হলাম | 😇😇😇😇,surprise,2
পেয়েও হারানোর বেদনা যে কিকাকে বুঝাইআর কি করেই বা বুঝাইবুক ফেটে চাপা কাঁন্নাটাই  বয়ে বেড়াবো সারা জীবন😢😢😢😢😢😢😢😢😢মিস ইউ রে❤,sadness,1
ভাই এবার তো দেখছি সত্যি সত্যি আমার GF এর যে জিনিস গুলো ভালো লাগে সেগুলো আর বলা যাবেনা কারণ সেও হয়তো ভিডিওটা দেখে ফেলেছে এতক্ষনে,sadness,1
হঠাৎ পাশের বাসায় কান্নার ঝড় পড়ল গিয়ে যা দেখলাম তা সত্যিই অবিশ্বাস্য আমার থেকে ২ বছরের বড় দিবালি মারা গেছে,surprise,2
বেশ কয়েক বার চিৎকার করতেই হাটু থেকে মাথা তুলে আমার দিকে তাকালো  ভয়ে আমি চমকে উঠলাম  জাপানি ভুতের সিনামায় দেখা আট নয় বছরের একটি ছেলে আমার দিকে হাটু থেকে মুখ তুলে তাকালো  সমস্ত মুখ কেমন ফেকাসে হয়ে আছে ,fear,5
চোখের অশ্রু টাও বেইমান ঝরে পরে তাও আবার অন্যের জন্য নিজের অস্তিত্ব টাও এখন বেইমানি করে শুধুমাত্র তোর জন্য,sadness,1
কোথায় রাব্বানী আর কোথায় নূর বেটা রাব্বানী এতো সহজ না মানুষকে বোকা বানানো,disgust,3
