text,class,label
সবাই মিলে মিশে থাকলে তো হয়। অন্যকে খোচা দিয়ে কেনো কথা বলব?? কেনো তাদের ধর্ম অবমাননা করব,non-violence,0
"এটাই ধর্ম নিরপেক্ষতার নোংরা গণতন্ত্রযা মধ্যপ্রাচ্যে কল্পনা করা মুশকিল,কত মায়ের বুক খালি হয়ে গেছে,,",non-violence,0
"ধন্যবাদ জানাই,,,ঢাকা কলেজ",non-violence,0
"এই অত্যাচারী জালিমের হাত থেকে দেশকে রক্ষা করো,,,",non-violence,0
সঠিক তদন্ত হোক অযোধ্যার দাবি জানাতে না হলে আরো বড় কিছু হতে পারে,non-violence,0
আমি ও একমত,non-violence,0
"এই গেরুয়া হিন্দুদের জন্য একজন সাধারণ হিন্দু হিসেবে লজ্জায় ডুবে আছি...ধন্যবাদ বোন, তুমার এই সাহসিকতার পরিচয় তুমি নিজেই...",non-violence,0
"কিসের হেপাজত??উগ্রবাদ কখন হেপাজতে হতে পারে না, তাঁতে সে রামাবলী হোক আর টুপি পরা হোক্ উগ্রবাদ কখনই মানুষের কাছে কাম্ব না, আজকের শিক্ষিত সমাজ এই সকল কিছু আশা করে না বর্তমান সমাজের কাছ থেকে ।",non-violence,0
কন্ডম লীগ।ঝারু লীগ।প্রত্যেকটা ছাত্রলীগ এর জন্ম কন্ডম দূর্ঘটনায়,passive violence,1
দোকান বন্ধ রাখবে কেন?,non-violence,0
এখানে পুলিশ লীগ ও কুত্তালীগের সহযোগিতায় ছাত্রদলের উপর হামলা করা হয়েছে।আমরা প্রবাসী এর তীব্র নিন্দা জানাই।,passive violence,1
জজ মিয়া সিনেমা দেখার জন্য আমাদের সাত দিন অপেক্ষা করতে হলো। ধন্যবাদ আওয়ামী লীগ ।,non-violence,0
"আঃ দালাল মিডিয়া কত ঢং তোমরা দেখাইলা, তোমরা আওয়ামী লীগকে নিয়া একটা অনুসন্ধান চালাও। তাহলে বুঝতে পারবে মূল নাটের গুরু কে।",passive violence,1
আপনার মত প্রতিবাদী মানুষের অভাবতাই মানুষ ভোট দিতে পারে নাসবাই কে একত্রে প্রতিবাদ করতে হবে,non-violence,0
আল্লাহ কাফেরদের ধ্বংস করুন।,direct violence,2
ওদের কে কেন হত্যা করা হয়েছিল ?কেউ জানলে জানাবেন প্লিজ.,non-violence,0
এখন দেখি কয়জন মুসলমান গিয়ে ইকবাল হোসেনের শাস্তির দাবিতে রাস্তায় নামে‌?? কিন্তু এইকাজ যে যদি কোন হিন্দু করতো তাহলে এখনো আরো অনেক হিন্দুর বাড়ি ঘরে আগুন হামলা সব শুরু হয়ে যেতো।এখন শুধু দেখার বাকি আসলে কয়জন ধর্ম প্রান মানুষ আছে বাংলাদেশে।,non-violence,0
এই বাল লীগ বন্ধ হউক ।,direct violence,2
শিক্ষা গ্রহণ করতে যদি কাপড় খুলে শিক্ষা গ্রহণ করতে হয় তাহলে ওই শিক্ষা আমার বোনের জন্য দরকার নাই,non-violence,0
ভালো একটা কথা বলেছেন ভাই,non-violence,0
আল্লাহ বাকশালের হাত থেকে দেশকে উদ্ধার কর আল্লাহ না হয় তাদেরকে ধ্বংস করে দাও,direct violence,2
কতো আলেম মারতেছে তার বিচার হয় না এয় বাংলায়,non-violence,0
নোংরা সাংবাদিকতা,passive violence,1
"যার যত খুশি গেরুয়া পরুক সমস্যা কি ? যার খুশি হিজাব করুক সেখানেও সমস্যা কি ? করোনায় মুখে মাস্ক পরলে যদি সমস্যা না হয় হিজাবে সমস্যা কি? পোষাক যার যার ব্যক্তিগত ব্যাপার, প্রকাম্যে নগ্নতা ব্যক্তিগত ব্যাপার নয় ।",non-violence,0
বাংলাদেশের হলুদ সাংবাদিক রা কি বলে এইটা নাকি গুজব,passive violence,1
রেন্ডিয়ার মালুদের থেকে এর থেকে আর ভালো কি আশা করা যায়!!,passive violence,1
এটার জন্য সবার আগে হাসিনার বিচার করা দরকার। কারণ মুজিবের নিয়ে কিছু লিখলে জেলে যেতে হয়।,non-violence,0
যে দেশের শিক্ষক এমন দুর্নীতিবাজ সেদেশের ছাত্রদের কি অবস্থা। এগুলো শিখে তারা জীবনে কাজে লাগাবে। কিভাবে দুর্নীতি করতে হয়। আর দেশ দুর্নীতির শিখরে আরোহন করবে। কোপাও শামসুরা কোপাও। এরা জন্মই হয়েছে দুর্নীতির বীজ দিয়ে। তাই ভাল মানুষরা আজ অসহায়। ছাত্ররা পাঠশালায় যায় পড়তে আর শিক্ষকরা যায় পড়াতে। আর এই দেশে সবাই যায় দুর্নীতি করতে এখানে ট্রেনিং দেয়া হচ্ছে। দুর্নীতি করার জন্য আন্দোলন।😂😂,passive violence,1
আর যারা ছাত্র হয়েও দু চার টাকার বিনিময়ে অন্যের ভারাটে সন্ত্রাসী হিসেবে হামলা চালায় তাদের কি হবে,non-violence,0
আরে সাংবাদিক ভাইয়েরা আপনারা কেন মিথ্যা কথা বলতেছেন কিছুক্ষণ পরে আমাদের নির্বাচন কমিশনার আসে বলবে সুষ্ঠু নির্বাচন হয়েছে কোন মানুষ মৃত্যুবরণ করে নি দু-একটা সহিংসতা হয়েছে এটা সব নির্বাচনে হয় উনার এমন বক্তব্য শুনতে পারবেন মানুষ মরলে ওনার কোন সমস্যা নাই উনিত এসি রুমে বসে খুব ভালো হয়েছে দিন শেষে বেলা শেষে বলবে নির্বাচন সুষ্ঠু হয়েছে আম্লীগ জিতেছেন,non-violence,0
যারা মত প্রকাশের নামে ইসলাম কে আঘাত করবে তাদের এ জমিনে থাকার কোনো অধিকার নেই।,direct violence,2
আপনাদের মা বাবা কি সত্য কথা বলবার শিক্ষা দেয় নি,passive violence,1
যারা মারছে তাদের বিচার হোক ফোটেজ দেখে হোক,non-violence,0
আল্লাহ ধ্বংস কর আওয়ামীলীগকে,direct violence,2
গাবরদের ব্যবহার এর চেয়ে ভালো আশাকরা যায় না আর বোন আপনাকে সম্পকে কি বলবো তার ভাসা খুঁজে পাচ্ছি না সাথে ধন্যবাদ জানাই যমুনা টেলিভিশনকে ভালো কিছু প্রচার করার জন্য...!,passive violence,1
"আল্লাহ তুমি বলছো তুমার কাছে হমা আছে গজব আছে,, এই মোনাফেক দের তুমি গজব দিয়ে দংশ করে দাও, মাবুদ আমি তুমার কাছে জিবনে আর কিছু চায়না মাবুদ আমার কলিজাতে কোরআন আমার এই কোরআন কে জারা অবমাননা করছে আর জারা তাদের পক্ষে বক্তব্য দিতাছে তুমি এদের গজব দেও মাবুদ আমি তুমার কাছে এটাই ছারা আর কিছু চায়না হে আল্লাহ আমারা আর পারছিনা গু আল্লাহ",direct violence,2
"যে আদালত বাবরি মসজিদ ভেঙ্গে রাম মন্দির বানানোর অনুমতি দেয়, সেই আদালত কোন বালের সিদ্ধান্ত দিবে তা সবাই বুঝে।আর যে জাগতিক পড়াশুনা চালিয়ে যেতে হলে ঐশ্বরিক পর্দাকে খুলে ফেলতে হবে, সেই পড়াশুনাকে চুলার ভিতর নিক্ষেপ করে ঘরে বসে এমন সন্তান জন্ম দেওয়া উচিত যাদের হুংকারে ঐসব মালাউনদের প্যান্ট খারাপ হয়ে যাবে।",passive violence,1
সাগর-রুমি হত্যার বিচার তদন্ত ৭০ বারের উপরে পিছিয়ে গেছে,non-violence,0
তাহলে এখনো ধরতে পারনি।? নাকি তামাশা চলছে। প্রশাসন এতো দুর্বল ? তার মাবলেছে সে নাকি পাগল ।আর কতদিন এই প্রহসন চলবে ? তার সাথে যে চক্র জড়িত তাদেরটেনে বের করে আনা দরকার সবার সামনে। না টকের পর্ব গলি পর্দার আড়ালে লুকিয়ে রিহার্সাল হচ্ছে বুঝি?,non-violence,0
নিরাপত্তা সবার,non-violence,0
ওরা শুধু আল্লাহকে ভয় পায় কোন দলকে নয়। তাই ওরা যানে এটা ওদের ফাসি নয় ইসলামের বিজয় আর ইসলামের বিজয় যখন হবে তখন চোখে অশ্রু নয় মুখে হাসিটাই সোভা পায়।,non-violence,0
আওয়ামী লীগের জারজদের মুখে মিথ্যা কথা ছাড়া নাই। জারজের বাচ্চারাই আওয়ামী লীগ করে,passive violence,1
