text,class,label
সুইজারল্যান্ডে দু দিনব্যাপী রোড শো শুরু সোমবার,Positive,0
কর্মমুখী শিক্ষা নেই সেই সাথে শিল্পপ্রতিষ্ঠান ের সংকট প্রতিটা জেলায় শিল্পকারখানা গড়ে তুলতে হবে সরকারকে তাহলে সমস্যার সমাধান হবে,Positive,0
সুবিধাবাদী শাসন,Positive,0
শুভ কামনা রইল সোনালি আঁশের দেশ বাংলাদেশের জন্য,Positive,0
ওঠো জীবন যুদ্ধে হেরে গেলে চলবেনা আবার চেষ্টা করো অবশ্যই তুমি পারবে,Positive,0
চমৎকার সিদ্ধান্ত এতে করে অভিভাবকরা তার সন্তানকে বিদ্যালয়ের পাঠ নিরাপদ বোধ করবে,Positive,0
বাংলাদেশেও এমন হোক,Positive,0
শিক্ষার্থীদের স্কুলের ইউনিফর্ম তৈরির জন্য ঢাকার দরজির দোকানগুলোতে ভিড় বেড়েছে,Positive,0
করোনা কেড়ে নিল আরও ১১ হাজারের বেশি প্রাণ,Negative,1
লকডাউনে ভার্চ্যুয়াল জামিনে ৮৮৩ শিশু মুক্ত,Positive,0
উল্টো পাল্টা কথা বলে জাতির ব্লাডপ্রেশার বাড়ায়েন না,Negative,1
১ ফেব্রুয়ারি ঢাকা সিটির নির্বাচনি এলাকায় শিল্পকারখানা বন্ধের নির্দেশ ইসির,Positive,0
বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর বলেছেন আওয়ামী লীগ সংবিধানকে কেটেকুটে আবারও ছদ্মবেশী শাসনব্যবস্থা প্রতি,Negative,1
আমরা পূর্ব ভারতীয় হিন্দুরা সবাই হিন্দি ভাষী হিন্দি হে হাম ওয়াতান হে হিন্দুস্তান হামারা,Positive,0
হ তাইতো ভিক্ষা করে ফেনী নদীর পানি চাইছিলি তাও দিসি তিস্তাত জোর নিছস শ্রীলংকা নেপাল আফগানিস্তান লাথি দিসে আওয়ামিলীগ ক্ষমতা থেকে সরলে বাংলাদেশও লাথি দিবে,Negative,1
আপনার মত ইসলামিক চিন্তাবিদ আফগানিস্তানের প্রয়োজন,Positive,0
মন্ত্রী আরও বলেন এ মাসে আরও আড়াই কোটি টিকা আসবে এর মধ্যে,Positive,0
তুমার বাচ্চাকে কে কিনে দিবে চকলেট আর জুস,Negative,1
মাদক মামলায় পরীমনির জামিন দিয়েছেন আদালত,Positive,0
বিবিসি বাংলা নামক ভারত ও আওয়ামীলীগের দালাল মিডিয়াকে সকল দেশপ্রেমিক মানুষের বয়কট করা উচিত,Positive,0
যেভাবে সময় কাটান প্রধানমন্ত্রী শেখ হাসিনা,Negative,1
রোববার থেকে গার্মেন্টসসহ রপ্তানিমুখী শিল্পকারখানা খোলা,Positive,0
যশোরে বিধিনিষেধের মধ্যেও ৬১ শতাংশ সংক্রমণ ১০ জনের মৃত্যু,Negative,1
দুই শতাধিক ভেজাল ব্যবসায়ীকে কোটি টাকা জরিমানা,Positive,0
শিক্ষক স্বল্পতা শিক্ষকদের অবহেলা কর্মমুখী শিক্ষা জবাবদিহিতার অভাব,Negative,1
২৮৭০ টাকায় কেউ পাট নেয় না তিন হাজারের উপরে কেমনে হয়,Negative,1
আজ রাতে বিশ্বকাপ বাছাইপর্বের ম্যাচে মুখোমুখি হচ্ছে ব্রাজিল ও আর্জেন্টিনা,Positive,0
কচু পাইছে এরা ই বিশ্ব সন্ত্রাষী,Negative,1
শোকের মাস আগস্ট শুরু রোববার,Positive,0
